Date,normal_score,abnormal_score
2018-10-15,0.0005922420228187173,0.004409166495381497
2018-10-16,-0.00033016304684953073,0.0025610908746311247
2018-10-17,0.00014973551847800122,0.004994229578738113
2018-10-18,0.002745911730758635,0.005455537485364742
2018-10-19,0.001650665254580521,-6.343466104387352e-05
2018-10-22,-1.4497305847572346e-05,-0.003224744702733753
2018-10-23,-0.0013677608046822637,-0.002099496675245368
2018-10-24,-0.0026519113284141464,-0.0003728969607861623
2018-10-25,-0.0031925438101883916,-0.0006973136756154136
2018-10-26,-0.005248834776130301,0.00034314057780302767
2018-10-29,-0.005127187662904311,-0.0008724209730972374
2018-10-30,-0.004457805760428427,-0.001022458286904525
2018-10-31,-0.003555472884210982,-0.003787330135458241
2018-11-01,-0.003061637851379801,-0.005778776880700059
2018-11-02,-0.003009859441923852,-0.01010931554714832
2018-11-05,-0.004454457028387666,-0.008764918884867686
2018-11-06,-0.004878448807770937,-0.007956425515314603
2018-11-07,-0.007395705241894747,-0.011858268216873316
2018-11-08,-0.010263345865062626,-0.015440679647420016
2018-11-09,-0.011469866722724872,-0.018047342996718736
2018-11-12,-0.012825481816468174,-0.021075219078144324
2018-11-13,-0.0110662676825411,-0.01817701468609405
2018-11-14,-0.009660057441280557,-0.01967671745104553
2018-11-15,-0.014035105912118642,-0.021377479814519575
2018-11-16,-0.012747494278567827,-0.016988139428638954
2018-11-19,-0.012032455994024152,-0.015923124450035728
2018-11-20,-0.011702433527972716,-0.015589300873054523
2018-11-21,-0.011246671707921672,-0.01639619824468776
2018-11-22,-0.009660019033945363,-0.012625608692059118
2018-11-23,-0.011196854453179639,-0.015116781777647002
2018-11-26,-0.0127851687705561,-0.015810132659613146
2018-11-27,-0.014373316946299845,-0.01659402316482562
2018-11-28,-0.014712288350725907,-0.0140327701860877
2018-11-29,-0.014829485323401198,-0.011775161414122153
2018-11-30,-0.014055007350772973,-0.01135112024529699
2018-12-03,-0.01248817984536318,-0.011390440951164524
2018-12-04,-0.01206453455692414,-0.011075191114814965
2018-12-05,-0.0113884430963785,-0.010155770935185621
2018-12-06,-0.010884798130648658,-0.009569250294657071
2018-12-07,-0.0113657643332019,-0.007095975843859504
2018-12-10,-0.011818725533151761,-0.006554394201723348
2018-12-11,-0.013249601271557493,-0.006587476157725244
2018-12-12,-0.014557599225750659,-0.0067149779633949875
2018-12-13,-0.012080174467676643,-0.0041785560965021794
2018-12-14,-0.012780563492215392,-0.006049298237187015
2018-12-17,-0.01189000380223139,-0.005887841863680118
2018-12-18,-0.010504675444845284,-0.004132186077040856
2018-12-19,-0.010045848383267064,-0.005083457455572153
2018-12-20,-0.01014179821263704,-0.007497427143467187
2018-12-21,-0.0058573913351717,-0.004633879646990309
2018-12-24,-0.0022935833763701044,-0.0008206597183462436
2018-12-25,-0.0018900375865420088,0.0007325957193648656
2018-12-26,-0.002817482010231388,-0.00045995356320787176
2018-12-27,-0.004322349883922771,-0.00022371868096227173
2018-12-28,-0.007520927078250372,-0.0010442908686357204
2019-01-02,-0.009101492742406849,-0.0020616467856739503
2019-01-03,-0.010452518898638557,-0.004722685650521693
2019-01-04,-0.012339625130369142,-0.007594526111703709
2019-01-07,-0.013146004958003683,-0.008702001517698031
2019-01-08,-0.01275018176809823,-0.009445196900997245
2019-01-09,-0.012116945636386519,-0.0073287093791302525
2019-01-10,-0.011315461984298452,-0.00749586547633691
2019-01-11,-0.012731389153797654,-0.007262142139272194
2019-01-14,-0.013809089223623288,-0.009390295890011809
2019-01-15,-0.011650550223008666,-0.006836884574056045
2019-01-16,-0.012139323236340956,-0.006691200692108101
2019-01-17,-0.010500951013550879,-0.006533227735053963
2019-01-18,-0.009220980378393289,-0.00452488841316174
2019-01-21,-0.009294508394717656,-0.003658996277867012
2019-01-22,-0.011658686931775877,-0.004395926864700852
2019-01-23,-0.013574347923341092,-0.005888808026121859
2019-01-24,-0.01276611997738686,-0.004668492652656765
2019-01-25,-0.011453321822162459,-0.0034888746302454638
2019-01-28,-0.008451052178552191,-0.00021485533330199073
2019-01-29,-0.004749988348560989,0.004022417057142933
2019-01-30,-0.0003001430758946509,0.010185606963080482
2019-01-31,-0.0020708418323130435,0.00753296499220845
2019-02-01,-0.002700079247425293,0.005255975481881647
2019-02-11,-0.005359226829224517,0.0011570760500818446
2019-02-12,-0.005745997293601656,1.7970847961531903e-05
2019-02-13,-0.004946397427675274,-0.0011897592756452394
2019-02-14,-0.004647232272416349,-0.0021149995266519853
2019-02-15,-0.0028007828161459,-0.004149432049102196
2019-02-18,-0.0012377839956071734,-0.004830256464341772
2019-02-19,-0.0026974020838700817,-0.006077429513965661
2019-02-20,-0.0031741800453068338,-0.006752309289809983
2019-02-21,-0.005223871702384364,-0.009297423563592096
2019-02-22,-0.005007111016563315,-0.010669203875512418
2019-02-25,-0.005823536064116841,-0.013377869850963836
2019-02-26,-0.006186070720655948,-0.01588253423415907
2019-02-27,-0.007016369801821111,-0.017384236102188706
2019-02-28,-0.010078250176015092,-0.01990224756499765
2019-03-01,-0.012186006302137222,-0.023453045225139836
2019-03-04,-0.01645646867549086,-0.029246418007676533
2019-03-05,-0.01724282220091892,-0.031727684288344826
2019-03-06,-0.019797221784983936,-0.03764847019178381
2019-03-07,-0.01845761618459264,-0.03289832352589397
2019-03-08,-0.0148256225339946,-0.02839710986418268
2019-03-11,-0.011951377388915349,-0.024648369003198556
2019-03-12,-0.011243292195659567,-0.02381851127108369
2019-03-13,-0.009339145353160386,-0.021286800851246457
2019-03-14,-0.00881208570929661,-0.01980651071826122
2019-03-15,-0.009058587645285686,-0.017554289498780087
2019-03-18,-0.012318552059275664,-0.017474603685737593
2019-03-19,-0.011952135341829755,-0.017352837743111284
2019-03-20,-0.01193073678506603,-0.017461886815911837
2019-03-21,-0.011060581511658757,-0.015255686824950786
2019-03-22,-0.011358862404527563,-0.013111967803991566
2019-03-25,-0.01115103913408987,-0.011618559323502982
2019-03-26,-0.009904235171182862,-0.008811197566512913
2019-03-27,-0.008124756622037986,-0.006870005366361639
2019-03-28,-0.00709618038750664,-0.007329169128753324
2019-03-29,-0.007364447013724639,-0.007107596933821824
2019-04-01,-0.00656306547867429,-0.005509666580143619
2019-04-02,-0.007640006346817121,-0.006411473725202106
2019-04-03,-0.009076681978431847,-0.006304124030876852
2019-04-04,-0.0065820932450041305,-0.005657859243081255
2019-04-08,-0.008064636006154511,-0.006072483493743503
2019-04-09,-0.007625766377427897,-0.005214583159142359
2019-04-10,-0.008678171161128952,-0.005562893777145702
2019-04-11,-0.011289633955153042,-0.0071891329243299685
2019-04-12,-0.012788298090335043,-0.00807407629486981
2019-04-15,-0.014685196038311156,-0.010437090772025221
2019-04-16,-0.012776325096365695,-0.009522040125007288
2019-04-17,-0.013759462587181016,-0.009760030399141674
2019-04-18,-0.012916174713417725,-0.009783024176893217
2019-04-19,-0.012982759690751144,-0.010368125194692837
2019-04-22,-0.014511974089937367,-0.012187320231779432
2019-04-23,-0.01494741385095627,-0.012866541923471402
2019-04-24,-0.013495357199245682,-0.01172481668536167
2019-04-25,-0.013625802282475289,-0.011531717229274345
2019-04-26,-0.008013823145799235,-0.005084377494680059
2019-04-29,-0.0071060532475019905,-0.004396050879782481
2019-04-30,-0.00331833350757258,-0.0012029228493466988
2019-05-06,-0.0015650001543099507,0.0005583150236741084
2019-05-07,-0.0011746310672282813,0.00033012226684303375
2019-05-08,-0.003468565717821835,-0.0016599356321190814
2019-05-09,-0.0021226254449485467,-0.0007395781201047689
2019-05-10,-0.0012184107986823144,0.001203914744070232
2019-05-13,-0.0009483052478689623,0.001996566873541561
2019-05-14,-0.0013413143778776052,0.0015993594583451941
2019-05-15,-0.0014123988559745187,0.001522005672415456
2019-05-16,-0.0007387276884520714,0.004502038800563775
2019-05-17,-0.00125465007928158,0.003965394453808805
2019-05-20,-0.0020918852964746893,0.0026370452625833728
2019-05-21,-0.001302473692799828,0.004173414897592569
2019-05-22,-0.0012624179477314051,0.005489678281216277
2019-05-23,-0.0010489158015852078,0.006215013968585913
2019-05-24,-0.001494439776950162,0.00473335509474496
2019-05-27,-0.00437152336411596,0.0017127513884653651
2019-05-28,-0.006657289736514483,-0.0009302665155249632
2019-05-29,-0.00922322942315392,-0.0038956651716344267
2019-05-30,-0.00799284663327863,-0.0026786701814227832
2019-05-31,-0.009613361299080551,-0.003391161562531766
2019-06-03,-0.010197656201291634,-0.0028280423245818725
2019-06-04,-0.009135508705652863,-0.0016061562690292833
2019-06-05,-0.006472525087976205,0.0026045521951819158
2019-06-06,-0.008250480883477766,0.00046607545648665743
2019-06-10,-0.012490862264380141,-0.006384498122731811
2019-06-11,-0.013197641373434682,-0.006627649155809402
2019-06-12,-0.013077072164204593,-0.008726964186859427
2019-06-13,-0.013147759694762914,-0.0067269506765692145
2019-06-14,-0.013094441093337818,-0.008092837756357076
2019-06-17,-0.011915870570523259,-0.0065389930370921626
2019-06-18,-0.012115853060572716,-0.006862607837245596
2019-06-19,-0.01188938354757171,-0.007675759759891298
2019-06-20,-0.013574844942211969,-0.012127671291056092
2019-06-21,-0.012836609132696346,-0.011283941887628986
2019-06-24,-0.012569554294585535,-0.008977801741917023
2019-06-25,-0.011697327958820693,-0.007990208183859681
2019-06-26,-0.010330815100514779,-0.006895726323064568
2019-06-27,-0.010543625347384232,-0.006325480298715901
2019-06-28,-0.011819024298783842,-0.009315805169493572
2019-07-01,-0.011568667046043176,-0.010330578726884431
2019-07-02,-0.011942261542436342,-0.010143474277064645
2019-07-03,-0.012418231864875359,-0.009853362503590214
2019-07-04,-0.014483445565882167,-0.012536222002429466
2019-07-05,-0.011414590859261902,-0.007461646739411389
2019-07-08,-0.009090043555391765,-0.0035837934854740273
2019-07-09,-0.008647659188821238,-0.0029571480758141286
2019-07-10,-0.008039312977006791,-9.912843152529572e-05
2019-07-11,-0.00801748311717861,-0.0015183584173386892
2019-07-12,-0.008159553428845154,-0.0018290343870122608
2019-07-15,-0.008219476619917458,-0.0030732461215398216
2019-07-16,-0.008090200472148604,-0.0031261868439706082
2019-07-17,-0.009321506827710796,-0.0017672600691553627
2019-07-18,-0.008187970036507045,0.0014194952162182909
2019-07-19,-0.008395152691747162,0.002892949863807189
2019-07-22,-0.009165484133342389,2.5391010497028852e-05
2019-07-23,-0.010435713845031367,-0.0026396444262785615
2019-07-24,-0.009830348224794106,-0.002008833147812699
2019-07-25,-0.010730298224366058,-0.00399998480381107
2019-07-26,-0.009500185979232375,-0.00027971304406964
2019-07-29,-0.010813640760902554,-0.0010230825395164444
2019-07-30,-0.009724509381269987,-0.0004631378538826329
2019-07-31,-0.009997365877453243,-0.0005824466241254354
2019-08-01,-0.009033614012337316,0.0005780602643383509
2019-08-02,-0.009919512114534427,-0.0021142151308856686
2019-08-05,-0.008996777740052942,0.0012729069329536263
2019-08-06,-0.009455016443842076,-0.00022653135948554125
2019-08-07,-0.009750702335002333,-0.0014956820592529011
2019-08-08,-0.008278829999771475,0.00026023628499748574
2019-08-09,-0.008406035407472779,-0.00021052211961711102
2019-08-12,-0.008527792059502878,0.0014258215195471669
2019-08-13,-0.007289137206487287,0.0037345851231269257
2019-08-14,-0.005010879003302599,0.003654950754887797
2019-08-15,-0.004821356581790091,0.004341010009162677
2019-08-16,-0.002320075279661592,0.002186921102215052
2019-08-19,-0.0005233867401152563,0.004193380980052109
2019-08-20,0.001189088391391425,0.007216088727613535
2019-08-21,0.0003207423013185046,0.005695374492852541
2019-08-22,-0.000234382668408701,0.005713680221328414
2019-08-23,-0.0003044505871567624,0.005529894993146829
